Repository,Date,Message
react,2026-06-05T23:17:18Z,"[flow] Bump flow to v0.317.0 (#36701)

## Summary

Mostly changing the casting syntax from `(x: Y)` to `x as Y`, as the old
syntax was deprecated and always causing an error in Flow

## How did you test this change?

`yarn flow-ci`"
react,2026-06-05T17:54:38Z,"[flow] Bump flow to v0.307.1 (#36199)

## Summary

Notable changes:
- Only $FlowFixMe, $FlowExpectedError suppression comments are supported
- All suppression comments need error code
- A lot of new invalid-compare and constant-condition errors suppressed.
These errors reveal potential logical bugs

## How did you test this change?

`yarn flow-ci`"
react,2026-06-03T19:06:08Z,"[Fizz] Allow Pending Work to Specialize Abort Reasons (#36586)

# Allow Pending Work to Specialize Abort Reasons

## Summary

Fizz currently reports every unfinished task using the same request-wide
abort reason. This makes it possible to observe that a render did not
finish, but not to understand why any individual suspended slot remained
incomplete.

This change allows suspended tasks to report a more specific rejection
reason when the wakeable they are blocked on rejects after abort begins
and before Fizz finalizes that task. Tasks that do not reject during
this window continue to report the general abort reason.

This is primarily motivated by partial prerendering, where aborting is
not merely an exceptional termination mechanism. It is the API used to
intentionally finish a prerender while leaving some work unresolved.

## Motivation

For an ordinary server render, a request abort generally means that the
result is no longer needed. Reporting the same abort reason for every
unfinished task is usually sufficient.

For a partial prerender, the meaning is different. The caller
intentionally aborts in order to produce a partial result. The
unfinished work is then useful information: it identifies which parts of
the tree prevented the prerender from completing.

Today, all of those tasks receive the same abort reason:

```text
slot A -> prerender aborted
slot B -> prerender aborted
slot C -> prerender aborted
```

That says which work was incomplete, but not whether different slots
should be interpreted differently.

For example, an application may have:

- A slow API that is permitted to miss the prerender deadline and should
not produce actionable logging.
- Other work that is expected to finish during prerendering and should
be reported when it does not.
- A data source that can provide additional telemetry about why it did
not finish once it learns that the prerender has been aborted.

With a single request-wide abort reason, `onError` cannot distinguish
these cases.

## Proposed Behavior

When abort begins, Fizz still associates a general abort reason with the
request. That reason remains the fallback for every unfinished task.

However, if a task is suspended on a wakeable and that wakeable rejects
during the interval between:

1. The request beginning to abort.
2. Fizz finalizing that task as aborted.

then Fizz reports the wakeable's rejection reason for that task instead
of the general abort reason.

Conceptually:

```text
slot A -> rejected during abort with TimeoutError(""optional recommendations timed out"")
slot B -> still pending when abort finishes -> Error(""prerender deadline reached"")
slot C -> rejected during abort with QueryError(""inventory lookup canceled"")
```

A rejection that arrives after its task has already been finalized is
ignored.

## Intended Usage

The canonical usage is for the caller to use the same `AbortSignal` both
to terminate the prerender and to notify data sources that may still be
blocking suspended work. A data source can reject with a more specific
error whose `cause` preserves its relationship to the overall abort.

```js
const controller = new AbortController();
const abortReason = new Error('prerender deadline reached');

const result = prerender(<App signal={controller.signal} />, {
  signal: controller.signal,
  onError(error) {
    if (error === abortReason) {
      // This task was unfinished but did not provide a more specific reason.
      return;
    }

    if (error instanceof Error && error.cause === abortReason) {
      // This task reported a specialized failure caused by the prerender abort.
      // For example, suppress an expected optional timeout or record telemetry.
      return;
    }

    // Interpret an ordinary rendering error.
  },
});

controller.abort(abortReason);
```

An interested data source can observe that signal and reject pending
work with an operation-specific reason that records the abort as its
cause:

```js
signal.addEventListener(
  'abort',
  () => {
    reject(
      new Error('optional recommendations timed out', {
        cause: signal.reason,
      }),
    );
  },
  {once: true},
);
```

If this rejection arrives before Fizz finishes aborting the suspended
task, `onError` receives the operation-specific error instead of the
general abort reason. Work that does not provide a specialized rejection
continues to report `abortReason` directly.

This allows applications to:

- Suppress logging for intentionally optional or deadline-limited work.
- Surface unfinished work that should be investigated.
- Include operation-specific telemetry or context in aborted-slot
reporting.
- Retain an explicit causal relationship between a specialized error and
the request-wide abort.

## Causality And Scope

Fizz does not attempt to prove that a wakeable rejected because of the
abort signal.

The precise behavior is temporal:

- If a suspended wakeable rejects after abort begins and before its task
is finalized, its rejection specializes that task's abort reason.
- If it does not reject during that interval, the task receives the
general abort reason.
- If it rejects after finalization, the rejection is ignored for Fizz
error reporting.

Using the same `AbortSignal` to notify data sources is the intended
protocol, but Fizz cannot distinguish a rejection caused by that signal
from any unrelated rejection that happens to occur during the abort
window.

Likewise, `signal.aborted` in `onError` lets callers distinguish errors
observed before abort initiation from errors observed after it began. It
does not independently prove causality for an arbitrary rejection.

## Implementation

Previously, a suspended task attached the same ping callback for both
fulfillment and rejection:

```js
wakeable.then(ping, ping);
```

That is correct during ordinary rendering because retrying the task
allows a rejected wakeable to throw through the normal render path,
preserving regular error handling and stack construction.

During abort, however, retrying general work is intentionally
suppressed. To preserve a rejection that arrives during the abort
window, the task now stores distinct fulfillment and rejection ping
callbacks:

```js
wakeable.then(ping.resolve, ping.reject);
```

Before abort begins, `ping.reject` retains existing behavior by
scheduling the task for retry.

After abort begins, `ping.reject` attempts to claim the still-pending
aborted task from its owning abort set. If successful, Fizz finalizes
that task immediately using the rejection reason. The later scheduled
abort finish processes only tasks that remain in their abort sets, using
the general abort reason.

This avoids adding another top-level property to `Task`, whose
production shape is already at the current field-count threshold, while
also covering suspension mechanisms such as `React.lazy` that cannot be
handled by inspecting `use()` thenable state.

## Tests

The tests cover:

- A rejected suspended task reporting a specialized reason while
unrelated pending work still reports the general abort reason.
- Specialization for `React.lazy`, ensuring this is not limited to
`use()` suspension.
- A rejection arriving after abort finalization being ignored.
- The prerender scheduling window in both static Browser and Node APIs,
where abort listeners can reject pending work before abort completion."
react,2026-06-03T10:00:26Z,[flags] Cleanup `enableActivity` (#36603)
react,2026-06-01T15:18:06Z,"[Fizz] Abort tasks that suspend after aborting during render (#36585)

Stacked on #36580

When a task calls `abort()` while it is rendering, Fizz intentionally
leaves that task alone during the synchronous abort sweep so it can
unwind normally. If the task then suspends before reaching a normal
abort check, however, it currently remains pending and does not report
the abort reason.

This change completes an aborted task once it has unwound back to the
retry loop. Instead of treating it as an ordinary render error, it is
routed through the existing abort task completion path so prerenders
continue to postpone aborted work correctly and replay tasks use aborted
resume semantics.

If the task suspended through `use()`, preserve its thenable state
before completing the abort. This allows DEV async debug info to replay
the suspended call site and include it in the owner stack, even though
the task began aborting before it suspended.

Add coverage for render, prerender, and resumed replay tasks that
suspend after initiating an abort, including a real-timer test verifying
the suspended call site is retained in DEV owner stacks."
react,2026-06-01T06:32:58Z,"[Fizz] Finish abort in a scheduled task (#36580)

Stacked on #36584

`abort()` currently performs both the synchronous transition into an
aborted request and the reporting/completion of every unfinished task in
the same call. This change splits those phases. Aborting now
synchronously marks the request as aborted, captures the abort reason,
claims pending tasks so already scheduled work cannot continue rendering
them, and captures any DEV async debug information needed at the point
of abort. Reporting and completing the claimed tasks is then performed
from a scheduled `finishAbort()` callback.

This split does not yet allow a promise rejected by an abort listener to
replace the abort reason: work remains blocked once the request has been
aborted, and tests assert that abort-time rejections still report the
original abort reason. It establishes the task boundary needed for a
follow-up change to selectively process rejected suspended work before
completing the remaining aborted tasks.

This is observable for streaming renders because abort cleanup may now
happen after already available output is read. A Suspense boundary that
was previously converted to client rendering before it could be
serialized may instead be emitted as pending first and receive its
client-render instruction when the scheduled abort completion runs.

The scheduled finish must also preserve abort-during-render behavior in
renderers whose scheduler executes synchronously. The request tracks its
currently executing task, and both abort phases leave that task alone so
it can unwind through its normal abort path rather than being completed
twice or reporting an internal control-flow value."
react,2026-05-31T21:01:29Z,"[Fizz] Fix aborts during resumed rendering (#36584)

Stacked on #36583

Fizz previously identified a task that was rendering during an abort by
marking its blocked Segment as `RENDERING`. This does not work for
resumed replay tasks because they do not have a Segment, so an abort
during replay could eagerly abort the task before it unwound and then
report the internal `null` throw instead of the abort reason.

Track the task currently executing on the Request so aborting can leave
the in-flight task to unwind through its normal error path for both
render and replay tasks. Since this replaces the only purpose of the
Segment `RENDERING` status, remove that status and its associated
bookkeeping.

When resumed work unwinds after aborting, use the request's abort reason
in the replay catch paths so aborting while replaying a prerendered tree
or while rendering a resumed segment reports the meaningful abort reason
instead of the internal control-flow value."
react,2026-05-31T20:48:18Z,"[Fizz] Track abort state on Request (#36583)

Previously Fizz represented an active abort using the `ABORTING` request
status. This is ambiguous because aborting a task can synchronously
fatal the request, transitioning it to `CLOSING` or `CLOSED` while
another task is still unwinding from the same abort. Once that happened,
the in-flight task no longer observed that the request was aborted and
could fail to report its abort error.

This change removes the `ABORTING` status and instead tracks whether the
request was aborted independently on the Request. The existing
`fatalError` field continues to store the abort reason. As a result,
tasks that were rendering when an abort occurred continue to observe the
abort even if another aborted task has already fataled the request,
allowing all relevant unfinished task errors to be reported. DEV stalled
replays temporarily mask the aborted state so they can continue to
reconstruct suspended call sites as before.

This also establishes explicit abort state on the Request for follow-up
work that delays abort completion and allows rejected suspended work to
provide more specific abort errors."
react,2026-05-30T20:30:53Z,"[Fizz] model fb bundle's external work scheduling explicitly (#36576)

There are parts of Fizz that need to schedule work regardless of whether
the primary rendering pathway is drive externally through performWork.
Historically scheduleWork and later s cheduleMicrotask were noops in
this bundle but it makes it hard to reason about the code because you
cannot be assured that calling scheduleWork will actually result in the
function
ever executing. Now we model this explicitly through config. For builds
that drive work through external calls to performaWork we simply omit
any work scheduling in startWork or pi
ngTask. Now that this is modeled explicitly we can implement
scheduleMicrotask and scheduleWork to actually provide a guarantee that
the callbacks will get invoked.

For now I've implemented these two for the fb build as synchronous
however it is likely that queueMicrotask and setTimeout or similar are
preferred."
react,2026-05-30T15:43:05Z,"[Fizz] Continue reporting aborted task errors after a fatal abort (#36575)

Stacked on #36574

Normally, a fatal error transitions the request to CLOSED or CLOSING,
which prevents later aborted root tasks from reporting their errors.
Errors inside Suspense boundaries can still be reported, but other
pending root tasks are hidden once the first one fatally errors.

That behavior is useful for a normal fatal render error, where
subsequent work does not need to be processed. During an abort, however,
the abort reason is already the source of failure for every unfinished
task. Treating the first root task visited during abort cleanup as the
only observable fatal error privileges arbitrary task ordering and hides
useful information about the unfinished render.

Continue logging errors for pending tasks aborted after the request has
already fatally errored, while still only failing the shell once."
